Date,Open,High,Low,Close,Adj Close,Volume
2024-05-02,6800.000000,6800.000000,6050.000000,6325.000000,6325.000000,501849300
2024-05-03,6300.000000,6425.000000,6050.000000,6150.000000,6150.000000,269305400
2024-05-06,6250.000000,6400.000000,6150.000000,6275.000000,6275.000000,184234200
2024-05-07,6325.000000,6400.000000,6250.000000,6275.000000,6275.000000,130410300
2024-05-08,6325.000000,6450.000000,6250.000000,6275.000000,6275.000000,117065300
2024-05-13,6200.000000,6275.000000,6125.000000,6200.000000,6200.000000,128638300
2024-05-14,6175.000000,6300.000000,6175.000000,6200.000000,6200.000000,94048400
2024-05-15,6200.000000,6400.000000,6200.000000,6375.000000,6375.000000,80923000
2024-05-16,6450.000000,6500.000000,6325.000000,6350.000000,6350.000000,114806300
2024-05-17,6350.000000,6650.000000,6350.000000,6575.000000,6575.000000,133153900
2024-05-20,6550.000000,6625.000000,6200.000000,6325.000000,6325.000000,168796000
2024-05-21,6225.000000,6275.000000,5975.000000,6025.000000,6025.000000,307362900
2024-05-22,6000.000000,6150.000000,5950.000000,6050.000000,6050.000000,171675900
2024-05-27,6025.000000,6050.000000,5825.000000,5825.000000,5825.000000,258450900
2024-05-28,5850.000000,6025.000000,5825.000000,5950.000000,5950.000000,93701700
2024-05-29,5825.000000,5875.000000,5700.000000,5800.000000,5800.000000,169386300
2024-05-30,5775.000000,6000.000000,5525.000000,5875.000000,5875.000000,236632600
2024-05-31,6000.000000,6025.000000,5900.000000,5900.000000,5900.000000,169567000
2024-06-03,6075.000000,6150.000000,6025.000000,6100.000000,6100.000000,92525600
2024-06-04,6150.000000,6275.000000,6125.000000,6150.000000,6150.000000,137800600
2024-06-05,6125.000000,6150.000000,5975.000000,6000.000000,6000.000000,102327300
2024-06-06,6125.000000,6200.000000,6075.000000,6175.000000,6175.000000,85735200
2024-06-07,6250.000000,6275.000000,6150.000000,6275.000000,6275.000000,99092800
2024-06-10,6275.000000,6350.000000,6200.000000,6275.000000,6275.000000,80154400
2024-06-11,6200.000000,6250.000000,6125.000000,6125.000000,6125.000000,56254400
2024-06-12,6050.000000,6075.000000,5900.000000,5925.000000,5925.000000,120857200
2024-06-13,5975.000000,6000.000000,5850.000000,5875.000000,5875.000000,162616700
2024-06-14,5850.000000,5875.000000,5650.000000,5750.000000,5750.000000,203241500
2024-06-19,5775.000000,5850.000000,5675.000000,5750.000000,5750.000000,116004200
2024-06-20,5825.000000,5950.000000,5750.000000,5950.000000,5950.000000,82660000
2024-06-21,6050.000000,6200.000000,6025.000000,6125.000000,6125.000000,184240600
2024-06-24,6075.000000,6125.000000,6000.000000,6000.000000,6000.000000,58831900
2024-06-25,5925.000000,5975.000000,5825.000000,5925.000000,5925.000000,159983800
2024-06-26,5950.000000,6025.000000,5850.000000,5850.000000,5850.000000,92895700
2024-06-27,5900.000000,6075.000000,5875.000000,6000.000000,6000.000000,117602400
2024-06-28,6000.000000,6250.000000,6000.000000,6150.000000,6150.000000,191371600
2024-07-01,6175.000000,6250.000000,6100.000000,6250.000000,6250.000000,100408200
2024-07-02,6275.000000,6350.000000,6150.000000,6200.000000,6200.000000,159356600
2024-07-03,6275.000000,6300.000000,6100.000000,6225.000000,6225.000000,70017100
2024-07-04,6250.000000,6400.000000,6225.000000,6250.000000,6250.000000,90147800
2024-07-05,6325.000000,6500.000000,6300.000000,6425.000000,6425.000000,111646800
2024-07-08,6400.000000,6425.000000,6200.000000,6225.000000,6225.000000,138144000
2024-07-09,6225.000000,6400.000000,6200.000000,6375.000000,6375.000000,84177600
2024-07-10,6375.000000,6450.000000,6300.000000,6375.000000,6375.000000,59685300
2024-07-11,6400.000000,6425.000000,6350.000000,6400.000000,6400.000000,66789800
2024-07-12,6450.000000,6550.000000,6400.000000,6425.000000,6425.000000,136132200
2024-07-15,6450.000000,6450.000000,6300.000000,6350.000000,6350.000000,66071800
2024-07-16,6400.000000,6400.000000,6300.000000,6350.000000,6350.000000,64687900
2024-07-17,6450.000000,6525.000000,6375.000000,6450.000000,6450.000000,109729800
2024-07-18,6550.000000,6600.000000,6500.000000,6550.000000,6550.000000,132532000
2024-07-19,6500.000000,6525.000000,6450.000000,6525.000000,6525.000000,63165500
2024-07-22,6575.000000,6700.000000,6525.000000,6700.000000,6700.000000,110467000
2024-07-23,6750.000000,6750.000000,6550.000000,6625.000000,6625.000000,77861700
2024-07-24,6500.000000,6575.000000,6475.000000,6475.000000,6475.000000,63940900
